drug_name,food_or_substance,recommendation,severity,note
metformin,alcohol,"Avoid alcohol; can cause low blood sugar and lactic acidosis",high,"Even small amounts risky"
metformin,food,"Take with meals to reduce stomach upset",low,"Improves tolerance"
warfarin,leafy greens,"Keep vitamin K intake consistent — large changes alter INR",high,"Don't suddenly start/stop spinach, kale, broccoli"
warfarin,alcohol,"Limit alcohol — increases bleeding risk",high,"
"
warfarin,grapefruit,"Avoid grapefruit juice",moderate,"
"
amlodipine,grapefruit,"Avoid grapefruit juice — raises drug levels",moderate,"
"
atorvastatin,grapefruit,"Avoid grapefruit juice — raises statin levels",moderate,"
"
ciprofloxacin,dairy,"Avoid milk/yogurt within 2 hours of dose",moderate,"Calcium binds the drug"
ciprofloxacin,iron supplements,"Take 2+ hours apart from iron",moderate,"Calcium/iron block absorption"
doxycycline,dairy,"Don't take with milk",moderate,"
"
doxycycline,iron supplements,"Separate by 2 hours",moderate,"
"
levothyroxine,food,"Take 30-60 min before breakfast on empty stomach",high,"Food blocks absorption"
levothyroxine,calcium,"Don't take with calcium tablets",moderate,"
"
isoniazid,alcohol,"Avoid alcohol — increases liver damage risk",high,"
"
isoniazid,tyramine foods,"Avoid aged cheese, cured meats, fermented foods",moderate,"MAOI-like effects"
rifampicin,alcohol,"Avoid alcohol — liver toxicity risk",high,"
"
rifampicin,food,"Take 1 hour before or 2 hours after meals",moderate,"Better absorption empty stomach"
paracetamol,alcohol,"Limit alcohol — increases liver damage risk at higher doses",high,"
"
ibuprofen,alcohol,"Avoid — stomach bleeding risk",high,"
"
ibuprofen,food,"Take with food to protect stomach",moderate,"
"
diclofenac,food,"Take with food to reduce stomach upset",moderate,"
"
aspirin,alcohol,"Avoid — bleeding risk",high,"
"
aspirin,food,"Take with food",low,"
"
amoxicillin,food,"Can take with or without food",low,"
"
azithromycin,food,"Suspension: take 1 hr before or 2 hrs after food",low,"Tablets less affected"
omeprazole,food,"Take 30-60 min before breakfast",moderate,"
"
metronidazole,alcohol,"Strict no-alcohol — severe nausea/vomiting reaction",high,"For 24-48 hr after last dose too"
fluconazole,alcohol,"Avoid alcohol — liver risk",moderate,"
"
prednisolone,food,"Take with food to reduce stomach irritation",moderate,"
"
losartan,potassium supplements,"Avoid extra potassium without doctor advice",moderate,"
"
enalapril,potassium supplements,"Avoid extra potassium",moderate,"
"
spironolactone,potassium supplements,"Avoid extra potassium — risk of dangerous high levels",high,"
"
furosemide,licorice,"Avoid black licorice — can deplete potassium further",low,"
"
glimepiride,alcohol,"Limit alcohol — low blood sugar risk",high,"
"
insulin regular,alcohol,"Limit alcohol — masks low blood sugar symptoms",high,"
"
